[2025-10-23 18:03:30,551] INFO: Конфигурация загружена: {'telegram_token': '8372436135:AAHPh5Jo-fgKz84Wro0oO8jjioVDv-1DURc', 'chat_id': '-4826114309', 'timeframe': '1m', 'volume_filter': 10000000.0, 'price_change_threshold': 1.0, 'bot_status': True, 'indicators_enabled': {'price_change': True, 'rsi': True, 'macd': True, 'volume_surge': True, 'bollinger': True, 'adx': True, 'rsi_macd_divergence': True, 'candle_patterns': False, 'volume_pre_surge': False, 'ema_crossover': False, 'obv': False}, 'min_indicators': 4, 'required_indicators': ['rsi']}
[2025-10-23 18:03:30,587] INFO: Бот запущен. Используй /start или /test в Telegram.
[2025-10-23 18:04:30,605] INFO: Конфигурация загружена: {'telegram_token': '8372436135:AAHPh5Jo-fgKz84Wro0oO8jjioVDv-1DURc', 'chat_id': '-4826114309', 'timeframe': '1m', 'volume_filter': 10000000.0, 'price_change_threshold': 1.0, 'bot_status': True, 'indicators_enabled': {'price_change': True, 'rsi': True, 'macd': True, 'volume_surge': True, 'bollinger': True, 'adx': True, 'rsi_macd_divergence': True, 'candle_patterns': False, 'volume_pre_surge': False, 'ema_crossover': False, 'obv': False}, 'min_indicators': 4, 'required_indicators': ['rsi']}
[2025-10-23 18:04:30,605] INFO: Запуск мониторинга...
[2025-10-23 18:04:31,849] INFO: Конфигурация загружена: {'telegram_token': '8372436135:AAHPh5Jo-fgKz84Wro0oO8jjioVDv-1DURc', 'chat_id': '-4826114309', 'timeframe': '1m', 'volume_filter': 10000000.0, 'price_change_threshold': 1.0, 'bot_status': True, 'indicators_enabled': {'price_change': True, 'rsi': True, 'macd': True, 'volume_surge': True, 'bollinger': True, 'adx': True, 'rsi_macd_divergence': True, 'candle_patterns': False, 'volume_pre_surge': False, 'ema_crossover': False, 'obv': False}, 'min_indicators': 4, 'required_indicators': ['rsi']}
[2025-10-23 18:04:31,849] INFO: Получено 646 необработанных символов
[2025-10-23 18:04:33,544] ERROR: ❌ Ошибка получения тикеров: 'NoneType' object has no attribute 'resume_reading'
[2025-10-23 18:04:33,544] INFO: Получено 0 тикеров для обработки
[2025-10-23 18:04:33,544] WARNING: Тикеры не найдены, проверка остановлена.
[2025-10-23 18:05:30,601] INFO: Конфигурация загружена: {'telegram_token': '8372436135:AAHPh5Jo-fgKz84Wro0oO8jjioVDv-1DURc', 'chat_id': '-4826114309', 'timeframe': '1m', 'volume_filter': 10000000.0, 'price_change_threshold': 1.0, 'bot_status': True, 'indicators_enabled': {'price_change': True, 'rsi': True, 'macd': True, 'volume_surge': True, 'bollinger': True, 'adx': True, 'rsi_macd_divergence': True, 'candle_patterns': False, 'volume_pre_surge': False, 'ema_crossover': False, 'obv': False}, 'min_indicators': 4, 'required_indicators': ['rsi']}
[2025-10-23 18:05:30,602] INFO: Запуск мониторинга...
[2025-10-23 18:05:31,297] INFO: Конфигурация загружена: {'telegram_token': '8372436135:AAHPh5Jo-fgKz84Wro0oO8jjioVDv-1DURc', 'chat_id': '-4826114309', 'timeframe': '1m', 'volume_filter': 10000000.0, 'price_change_threshold': 1.0, 'bot_status': True, 'indicators_enabled': {'price_change': True, 'rsi': True, 'macd': True, 'volume_surge': True, 'bollinger': True, 'adx': True, 'rsi_macd_divergence': True, 'candle_patterns': False, 'volume_pre_surge': False, 'ema_crossover': False, 'obv': False}, 'min_indicators': 4, 'required_indicators': ['rsi']}
[2025-10-23 18:05:31,298] INFO: Получено 646 необработанных символов
[2025-10-23 18:05:32,809] ERROR: ❌ Ошибка получения тикеров: no close frame received or sent
[2025-10-23 18:05:32,810] INFO: Получено 0 тикеров для обработки
[2025-10-23 18:05:32,810] WARNING: Тикеры не найдены, проверка остановлена.
[2025-10-23 18:06:30,594] INFO: Конфигурация загружена: {'telegram_token': '8372436135:AAHPh5Jo-fgKz84Wro0oO8jjioVDv-1DURc', 'chat_id': '-4826114309', 'timeframe': '1m', 'volume_filter': 10000000.0, 'price_change_threshold': 1.0, 'bot_status': True, 'indicators_enabled': {'price_change': True, 'rsi': True, 'macd': True, 'volume_surge': True, 'bollinger': True, 'adx': True, 'rsi_macd_divergence': True, 'candle_patterns': False, 'volume_pre_surge': False, 'ema_crossover': False, 'obv': False}, 'min_indicators': 4, 'required_indicators': ['rsi']}
[2025-10-23 18:06:30,595] INFO: Запуск мониторинга...
[2025-10-23 18:06:31,847] INFO: Конфигурация загружена: {'telegram_token': '8372436135:AAHPh5Jo-fgKz84Wro0oO8jjioVDv-1DURc', 'chat_id': '-4826114309', 'timeframe': '1m', 'volume_filter': 10000000.0, 'price_change_threshold': 1.0, 'bot_status': True, 'indicators_enabled': {'price_change': True, 'rsi': True, 'macd': True, 'volume_surge': True, 'bollinger': True, 'adx': True, 'rsi_macd_divergence': True, 'candle_patterns': False, 'volume_pre_surge': False, 'ema_crossover': False, 'obv': False}, 'min_indicators': 4, 'required_indicators': ['rsi']}
[2025-10-23 18:06:31,847] INFO: Получено 646 необработанных символов
[2025-10-23 18:06:33,438] ERROR: ❌ Ошибка получения тикеров: 'NoneType' object has no attribute 'resume_reading'
[2025-10-23 18:06:33,439] INFO: Получено 0 тикеров для обработки
[2025-10-23 18:06:33,439] WARNING: Тикеры не найдены, проверка остановлена.
[2025-10-23 18:07:30,589] INFO: Конфигурация загружена: {'telegram_token': '8372436135:AAHPh5Jo-fgKz84Wro0oO8jjioVDv-1DURc', 'chat_id': '-4826114309', 'timeframe': '1m', 'volume_filter': 10000000.0, 'price_change_threshold': 1.0, 'bot_status': True, 'indicators_enabled': {'price_change': True, 'rsi': True, 'macd': True, 'volume_surge': True, 'bollinger': True, 'adx': True, 'rsi_macd_divergence': True, 'candle_patterns': False, 'volume_pre_surge': False, 'ema_crossover': False, 'obv': False}, 'min_indicators': 4, 'required_indicators': ['rsi']}
[2025-10-23 18:07:30,590] INFO: Запуск мониторинга...
[2025-10-23 18:07:31,465] INFO: Конфигурация загружена: {'telegram_token': '8372436135:AAHPh5Jo-fgKz84Wro0oO8jjioVDv-1DURc', 'chat_id': '-4826114309', 'timeframe': '1m', 'volume_filter': 10000000.0, 'price_change_threshold': 1.0, 'bot_status': True, 'indicators_enabled': {'price_change': True, 'rsi': True, 'macd': True, 'volume_surge': True, 'bollinger': True, 'adx': True, 'rsi_macd_divergence': True, 'candle_patterns': False, 'volume_pre_surge': False, 'ema_crossover': False, 'obv': False}, 'min_indicators': 4, 'required_indicators': ['rsi']}
[2025-10-23 18:07:31,465] INFO: Получено 646 необработанных символов
[2025-10-23 18:07:33,039] ERROR: ❌ Ошибка получения тикеров: 'NoneType' object has no attribute 'resume_reading'
[2025-10-23 18:07:33,039] INFO: Получено 0 тикеров для обработки
[2025-10-23 18:07:33,039] WARNING: Тикеры не найдены, проверка остановлена.
[2025-10-23 18:08:30,594] INFO: Конфигурация загружена: {'telegram_token': '8372436135:AAHPh5Jo-fgKz84Wro0oO8jjioVDv-1DURc', 'chat_id': '-4826114309', 'timeframe': '1m', 'volume_filter': 10000000.0, 'price_change_threshold': 1.0, 'bot_status': True, 'indicators_enabled': {'price_change': True, 'rsi': True, 'macd': True, 'volume_surge': True, 'bollinger': True, 'adx': True, 'rsi_macd_divergence': True, 'candle_patterns': False, 'volume_pre_surge': False, 'ema_crossover': False, 'obv': False}, 'min_indicators': 4, 'required_indicators': ['rsi']}
[2025-10-23 18:08:30,595] INFO: Запуск мониторинга...
[2025-10-23 18:08:32,198] INFO: Конфигурация загружена: {'telegram_token': '8372436135:AAHPh5Jo-fgKz84Wro0oO8jjioVDv-1DURc', 'chat_id': '-4826114309', 'timeframe': '1m', 'volume_filter': 10000000.0, 'price_change_threshold': 1.0, 'bot_status': True, 'indicators_enabled': {'price_change': True, 'rsi': True, 'macd': True, 'volume_surge': True, 'bollinger': True, 'adx': True, 'rsi_macd_divergence': True, 'candle_patterns': False, 'volume_pre_surge': False, 'ema_crossover': False, 'obv': False}, 'min_indicators': 4, 'required_indicators': ['rsi']}
[2025-10-23 18:08:32,199] INFO: Получено 646 необработанных символов
[2025-10-23 18:08:36,417] INFO: Отфильтрован 0GUSDT: объем 0.0 < 10000000.0
[2025-10-23 18:08:36,418] INFO: Отфильтрован 1000000BABYDOGEUSDT: объем 0.0 < 10000000.0
[2025-10-23 18:08:36,418] INFO: Отфильтрован 1000000CHEEMSUSDT: объем 0.0 < 10000000.0
[2025-10-23 18:08:36,418] INFO: Отфильтрован 1000000MOGUSDT: объем 0.0 < 10000000.0
[2025-10-23 18:08:36,418] INFO: Отфильтрован 10000ELONUSDT: объем 106409.359 < 10000000.0
[2025-10-23 18:08:36,419] INFO: Отфильтрован 10000QUBICUSDT: объем 447863.2617 < 10000000.0
[2025-10-23 18:08:36,419] INFO: Отфильтрован 10000SATSUSDT: объем 0.0 < 10000000.0
[2025-10-23 18:08:36,419] INFO: Отфильтрован 1000BONKPERP: не заканчивается на USDT или USDT.PERP
[2025-10-23 18:08:36,420] INFO: Пропущен 1000BONKUSDT: объем 53769919.4615
[2025-10-23 18:08:36,420] INFO: Отфильтрован 1000BTTUSDT: объем 0.0 < 10000000.0
[2025-10-23 18:08:36,420] INFO: Отфильтрован 1000CATUSDT: объем 0.0 < 10000000.0
[2025-10-23 18:08:36,420] INFO: Отфильтрован 1000FLOKIUSDT: объем 0.0 < 10000000.0
[2025-10-23 18:08:36,421] INFO: Отфильтрован 1000LUNCUSDT: объем 0.0 < 10000000.0
[2025-10-23 18:08:36,421] INFO: Отфильтрован 1000NEIROCTOPERP: не заканчивается на USDT или USDT.PERP
[2025-10-23 18:08:36,421] INFO: Отфильтрован 1000NEIROCTOUSDT: объем 0.0 < 10000000.0
[2025-10-23 18:08:36,421] INFO: Отфильтрован 1000PEPEPERP: не заканчивается на USDT или USDT.PERP
[2025-10-23 18:08:36,421] INFO: Пропущен 1000PEPEUSDT: объем 181452627.0897
[2025-10-23 18:08:36,421] INFO: Отфильтрован 1000RATSUSDT: объем 0.0 < 10000000.0
[2025-10-23 18:08:36,422] INFO: Отфильтрован 1000TAGUSDT: объем 0.0 < 10000000.0
[2025-10-23 18:08:36,422] INFO: Отфильтрован 1000TOSHIUSDT: объем 3207240.1229 < 10000000.0
[2025-10-23 18:08:36,422] INFO: Отфильтрован 1000TURBOUSDT: объем 0.0 < 10000000.0
[2025-10-23 18:08:36,422] INFO: Отфильтрован 1000XECUSDT: объем 0.0 < 10000000.0
[2025-10-23 18:08:36,423] INFO: Отфильтрован 1000XUSDT: объем 235764.6802 < 10000000.0
[2025-10-23 18:08:36,423] INFO: Отфильтрован 1INCHUSDT: объем 0.0 < 10000000.0
[2025-10-23 18:08:36,423] INFO: Отфильтрован 2ZUSDT: объем 8763286.7402 < 10000000.0
[2025-10-23 18:08:36,423] INFO: Отфильтрован 4USDT: объем 0.0 < 10000000.0
[2025-10-23 18:08:36,424] INFO: Отфильтрован A2ZUSDT: объем 244088.506 < 10000000.0
[2025-10-23 18:08:36,424] INFO: Отфильтрован A8USDT: объем 0.0 < 10000000.0
[2025-10-23 18:08:36,424] INFO: Отфильтрован AAVEPERP: не заканчивается на USDT или USDT.PERP
[2025-10-23 18:08:36,424] INFO: Отфильтрован AAVEUSDT: объем 0.0 < 10000000.0
[2025-10-23 18:08:36,425] INFO: Отфильтрован ACEUSDT: объем 245135.7488 < 10000000.0
[2025-10-23 18:08:36,425] INFO: Отфильтрован ACHUSDT: объем 0.0 < 10000000.0
